ensembl_gene_id,gene_symbol,SRR28352555,SRR28352556,SRR28352557,SRR28352561,SRR8327813,SRR8327814,SRR8327817,SRR8327818
ENSMUSG00000001151,Pcnt,1114.4050000000002,927.178,1260.309,1204.34,1,1,0,68
ENSMUSG00000001155,Ftcd,2,2,4,0,0,0,0,0
ENSMUSG00000001156,Mxd1,410.132,340.042,464.98499999999996,508.21,0,0,0,47
ENSMUSG00000001157,Gmcl1,1477.9339999999997,1359.9030000000002,1502.692,1758.8329999999999,0,0,0,138.158
ENSMUSG00000001158,Snrnp27,1166.271,1189.2250000000001,1176.7510000000002,1449.6770000000001,1,1,1,73
ENSMUSG00000001166,Oas1c,620.4090000000001,551.279,563.198,592.32,0,0,0,30.074
ENSMUSG00000001168,Oas1h,0,1,0,0,0,0,0,0
ENSMUSG00000001173,Ocrl,3754.506,3446.344,3809.884,3890.4719999999998,0,1,1,155.55900000000003
ENSMUSG00000001175,Calm1,89542.958,89137.584,94415.448,107022.582,82,78,148,9135.001
ENSMUSG00000001211,Agpat3,8890.919999999998,8083.898000000001,9406.261,9892.228,2,2,2,433.99999999999994
ENSMUSG00000001225,Slc26a3,14.568,12.112,25.503,9.544,0,0,0,0
ENSMUSG00000001227,Sema6b,195.99,165,265.995,251.5,0,0,1,17
ENSMUSG00000001228,Uhrf1,64,36,50,46.228,0,0,0,8
ENSMUSG00000001229,Dpp9,3248.82,2715.897,3104.261,3448.4549999999995,4,1,3,138
ENSMUSG00000001240,Ramp2,611.719,572.754,643.172,693.633,1,0,1,246.844
ENSMUSG00000001247,Lsr,134.00900000000001,121.329,168.096,146.184,1,0,1,11
ENSMUSG00000001248,Gramd1a,4473.066000000001,3639.156,4155.777,4342.855999999999,0,2,2,328
ENSMUSG00000001249,Hpn,106.83399999999999,77.70700000000001,80.999,105.008,0,0,0,13.001000000000001
ENSMUSG00000001260,Gabrg1,891.017,985.377,1101.872,1068.539,0,0,0,111
ENSMUSG00000001270,Ckb,33554.312000000005,30802.367000000002,30169.356,35522.627,51.092,42,52.378,2746.771
ENSMUSG00000001280,Sp1,1186.115,1077.012,1295.192,1296.0600000000002,1,1,1,59
ENSMUSG00000001281,Itgb7,145.933,95.122,127.95299999999999,141.954,0,1,0,15
ENSMUSG00000001285,Myg1,1407.222,1309.5209999999997,1336.247,1469.423,1,1,2,89.00000000000001
ENSMUSG00000001288,Rarg,1870.783,1345.9859999999999,1875.786,2067.001,1,1,0,143.999
ENSMUSG00000001289,Pfdn5,4387.758,3809.737,4385.5560000000005,4559.3240000000005,1,1,0,439.608
ENSMUSG00000001300,Efnb2,1311.705,1245.827,1539.4080000000001,1702.413,1,0,2,114
ENSMUSG00000001305,Rrp15,258.75,263.29200000000003,351.44599999999997,347.888,0,1,0,16.002
ENSMUSG00000001313,Rnd2,1041.455,991.052,953.027,1137.646,4.42,1.191,2.453,97.98400000000001
ENSMUSG00000001323,Srr,1996.4640000000002,1956.167,2101.9049999999997,2241.392,0,0,2.009,87.32300000000001
ENSMUSG00000001333,Sync,1024.03,910.212,947.422,844.63,0,3,3,38.004
ENSMUSG00000001334,Fndc5,1699.084,1565.701,1653.679,1888.136,1,0,0,139
ENSMUSG00000001348,Acp5,58.089,27,44,47,0,0,1,3
ENSMUSG00000001349,Cnn1,8,9,10,15,0,0,0,6
ENSMUSG00000001366,Fbxo9,3867.386,3461.584,3524.2029999999995,4076.8880000000004,6,0,1,236
ENSMUSG00000001376,Vps50,2296.889,2274.767,2651.706,2695.8650000000007,1,0,2,96.001
ENSMUSG00000001380,Hars1,6337.345,6107.366,6107.842,7119.121,1,1,4,412
ENSMUSG00000001383,Zmat2,4644.737999999999,4070.421,4274.275,4958.029,0,2,0,212
ENSMUSG00000001403,Ube2c,51.437,31.848,40.858,41.597,0,0,0,11.860000000000001
ENSMUSG00000001415,Smg5,4898.581999999999,4474.154,4929.365,5199.535,1,2.001,5,272.38199999999995
ENSMUSG00000001416,Cct3,9094.420999999998,8515.707,9320.234999999999,9816.923999999999,7,11,11,601.8850000000001
ENSMUSG00000001418,Glmp,1769.129,1476.9910000000002,1746.336,1901.8569999999997,3.505,2,3.024,128.14200000000002
ENSMUSG00000001419,Mef2d,3970.053,3272.4590000000003,3784.403999999999,4304.134999999999,2,3,6,231
ENSMUSG00000001420,Tmem79,4277.979,3388.5769999999993,3803.508,4897.133,4,2,5,345.99999999999994
ENSMUSG00000001424,Snd1,2997.814,2565.0269999999996,2749.546,3341.6899999999996,2,3,3,134.885
ENSMUSG00000001435,Col18a1,1447.637,1122.271,1336.9740000000002,1254.258,3,0,4,94
ENSMUSG00000001436,Slc19a1,1092.947,989.036,1032.438,1087.644,0,0,0,46
ENSMUSG00000001440,Kpnb1,9201.464,8309.911,9453.451,10913.396,6,3,8,502.00000000000006
ENSMUSG00000001441,Npepps,7826.406999999999,6889.049999999999,7572.715999999998,8972.363,3,3,6,696.1280000000002
ENSMUSG00000001444,Tbx21,14,13,10,9,0,0,0,2
ENSMUSG00000001445,Mrpl10,2022.065,1821.468,1870.776,2129.338,1,2,5,80.23899999999999
ENSMUSG00000001467,Cyp51,5333.187,5077.009,5543.098,5827.495999999999,1,2,3,277
ENSMUSG00000001472,Tcf25,28382.496,25935.840000000004,26421.623,30956.618000000002,11,13,11,1672.0000000000002
ENSMUSG00000001473,Tubb6,817.921,824.554,795.818,849.847,2,0,0,80.343
ENSMUSG00000001482,Def8,3765.133,3412.843,3629.2920000000004,4083.5730000000003,1,2,3,237.78199999999998
ENSMUSG00000001493,Meox1,75.105,60,60,91.168,0,0,0,7
ENSMUSG00000001494,Sost,16,38,7,9,0,0,0,0
ENSMUSG00000001496,Nkx2-1,14.046,21.951999999999998,17.076,29.084,0,0,0,0
ENSMUSG00000001497,Pax9,60.983,60.764,117.684,72.118,0,0,0,18.828
ENSMUSG00000001504,Irx2,0,0,1,2,0,0,0,0
ENSMUSG00000001506,Col1a1,3467.909,2551.857,4671.0740000000005,4015.966,20,13,25,714
ENSMUSG00000001507,Itga3,4231.431999999999,3289.171,3941.326,4386.811000000001,5,4,7,233.99999999999997
ENSMUSG00000001508,Sgca,11,2,6,2,0,0,0,1
ENSMUSG00000001510,Dlx3,162.05,94,95.041,167.812,0,0,0,7
ENSMUSG00000001517,Foxm1,110.99999999999999,59,85.82000000000001,86.07499999999999,0,0,0,9
ENSMUSG00000001518,Itfg2,1120.834,890.5450000000001,876.887,1104.045,1,1,1.9769999999999999,71.669
ENSMUSG00000001520,Nrip2,979.338,874.339,904.4549999999999,1100.707,2,2,1,39.674
ENSMUSG00000001521,Tulp3,1616.387,1427.0080000000003,1603.226,1732.891,0,0,0,215.013
ENSMUSG00000001524,Gtf2h4,536.703,433.485,557.5409999999999,547.729,0,0,2,49.998999999999995
ENSMUSG00000001525,Tubb5,57197.215000000004,51532.378,51908.854999999996,58658.249,57,47,67.00099999999999,2268.5490000000004
ENSMUSG00000001542,Ell2,1213.108,1189.2570000000003,1286.536,1341.947,0,2,1,77.496
ENSMUSG00000001552,Jup,9981.568,8149.651,8761.230000000001,11479.991,24,19,28,633.305
ENSMUSG00000001555,Fkbp10,382.26899999999995,293.596,464.549,460.596,0,0,0,58
ENSMUSG00000001558,Klhl10,6,12,12,10,0,0,0,0
ENSMUSG00000001566,Mnx1,0,0,0,1,0,0,0,0
ENSMUSG00000001569,Nom1,1594.998,1532.923,1633.5439999999999,1678.658,1.006,0,2.076,152.824
ENSMUSG00000001576,Ergic1,2907.157,2694.841,2877.1839999999997,3321.705999999999,2,2,0,198
ENSMUSG00000001583,Tnk1,13.373000000000001,9.857,6.358,11.259,0,0,0,0
ENSMUSG00000001588,Acap1,79.999,37.034,28,43.99999999999999,0,0,0,9
ENSMUSG00000001604,Tcea3,51,33.019,66.009,46,0,0,0,6
